Symbol,Entry Date,Exit Date,Entry,Exit,Qty,PNL,Result,ML Conf,AI Score,Equity,Peak,Drawdown (%)
Alumindo Light Metal Industry Tbk.,2021-05-21,2021-05-24,256,246.0,71724,-734454.0,SL,0.591,65,72711579.0,138388944.0,-47.45853469334949
Alumindo Light Metal Industry Tbk.,2021-06-02,2021-06-03,246,236.0,73893,-727107.0,SL,0.559,65,71984472.0,138388944.0,-47.983942994752525
Alumindo Light Metal Industry Tbk.,2021-06-21,2021-06-22,250,240.0,71984,-719840.0,SL,0.555,65,71264632.0,138388944.0,-48.50410015412792
Alumindo Light Metal Industry Tbk.,2021-07-13,2021-07-14,252,242.0,70699,-712646.0,SL,0.592,65,70551986.0,138388944.0,-49.0190589213543
Alumindo Light Metal Industry Tbk.,2021-09-27,2021-09-28,246,261.0,71699,1058277.0,TP,0.555,65,71610263.0,138388944.0,-48.254346821231614
Alumindo Light Metal Industry Tbk.,2021-11-09,2021-11-10,264,253.0,67812,-716095.0,SL,0.614,65,70894169.0,138388944.0,-48.771797116972
Alumindo Light Metal Industry Tbk.,2021-11-16,2021-11-18,252,242.0,70331,-708936.0,SL,0.567,65,70185232.0,138388944.0,-49.28407575680323
Alumindo Light Metal Industry Tbk.,2022-01-03,2022-01-05,290,278.0,60504,-701846.0,SL,0.626,65,69483386.0,138388944.0,-49.7912304323964
Alumindo Light Metal Industry Tbk.,2022-01-06,2022-01-07,310,298.0,56034,-694822.0,SL,0.63,65,68788564.0,138388944.0,-50.29330955802366
Alumindo Light Metal Industry Tbk.,2022-01-07,2022-01-07,304,322.0,56569,1031819.0,TP,0.612,65,69820383.0,138388944.0,-49.547716037200196
Alumindo Light Metal Industry Tbk.,2022-01-13,2022-01-14,278,295.0,62788,1047304.0,TP,0.561,65,70867687.0,138388944.0,-48.790933038697084
Alumindo Light Metal Industry Tbk.,2022-02-02,2022-02-03,296,284.0,59854,-708671.0,SL,0.623,65,70159015.0,138388944.0,-49.303020189242865
Alumindo Light Metal Industry Tbk.,2022-02-09,2022-02-14,296,284.0,59255,-701579.0,SL,0.588,65,69457436.0,138388944.0,-49.80998193034842
Alumindo Light Metal Industry Tbk.,2022-02-17,2022-02-18,306,294.0,56746,-694571.0,SL,0.569,65,68762865.0,138388944.0,-50.31187968310532
Alumindo Light Metal Industry Tbk.,2022-03-09,2022-03-10,300,288.0,57302,-687624.0,SL,0.553,65,68075241.0,138388944.0,-50.808757526179264
Alumindo Light Metal Industry Tbk.,2022-04-05,2022-04-06,280,297.0,60781,1021121.0,TP,0.569,65,69096362.0,138388944.0,-50.070894391679154
Alumindo Light Metal Industry Tbk.,2022-04-06,2022-04-06,298,286.0,57966,-690955.0,SL,0.566,65,68405407.0,138388944.0,-50.57017921894107
Alumindo Light Metal Industry Tbk.,2022-04-13,2022-04-14,292,280.0,58566,-684051.0,SL,0.574,65,67721356.0,138388944.0,-51.06447520836635
Alumindo Light Metal Industry Tbk.,2022-04-20,2022-04-22,288,276.0,58785,-677203.0,SL,0.552,65,67044153.0,138388944.0,-51.55382282561531
Alumindo Light Metal Industry Tbk.,2022-06-02,2022-06-08,290,288.0,57796,-115592.0,TIMEOUT,0.591,65,66928561.0,138388944.0,-51.6373497293252
Alumindo Light Metal Industry Tbk.,2022-06-07,2022-06-08,298,286.0,56148,-669284.0,SL,0.61,65,66259277.0,138388944.0,-52.12097506864421
Alumindo Light Metal Industry Tbk.,2022-06-10,2022-06-13,308,296.0,53781,-662582.0,SL,0.593,65,65596695.0,138388944.0,-52.599757535544164
Alumindo Light Metal Industry Tbk.,2022-06-16,2022-06-17,296,284.0,55402,-655960.0,SL,0.603,65,64940735.0,138388944.0,-53.073754938111236
Alumindo Light Metal Industry Tbk.,2022-06-21,2022-06-23,300,288.0,54117,-649404.0,SL,0.596,65,64291331.0,138388944.0,-53.54301496801652
Alumindo Light Metal Industry Tbk.,2022-06-24,2022-07-01,292,290.0,55043,-110086.0,TIMEOUT,0.581,65,64181245.0,138388944.0,-53.62256323019562
Alumindo Light Metal Industry Tbk.,2022-06-29,2022-07-01,306,294.0,52435,-641804.0,SL,0.563,65,63539441.0,138388944.0,-54.08633149191455
Alumindo Light Metal Industry Tbk.,2022-07-12,2022-07-14,302,290.0,52598,-635384.0,SL,0.561,65,62904057.0,138388944.0,-54.545460654718205
Aman Agrindo Tbk.,2025-09-29,2025-11-03,340,360.0,46252,943541.0,TP,0.576,65,63847598.0,138388944.0,-53.86365691178335
Aman Agrindo Tbk.,2025-09-29,2025-11-03,340,360.0,46946,957698.0,TP,0.571,65,64805296.0,138388944.0,-53.17162330539931
Aman Agrindo Tbk.,2025-11-06,2026-01-02,392,376.0,41329,-648039.0,SL,0.62,65,64157257.0,138388944.0,-53.63989698483428
Anabatic Technologies Tbk.,2020-06-29,2020-06-30,870,835.0,18435,-641538.0,SL,0.558,65,63515719.0,138388944.0,-54.103473034666706
Anabatic Technologies Tbk.,2020-07-03,2020-07-06,870,835.0,18251,-635135.0,SL,0.576,65,62880585.0,138388944.0,-54.562421547201055
Anabatic Technologies Tbk.,2020-07-07,2020-07-08,810,778.0,19407,-628787.0,SL,0.561,65,62251798.0,138388944.0,-55.01678371069873
Anabatic Technologies Tbk.,2020-11-13,2020-11-16,645,619.0,24128,-622502.0,SL,0.553,65,61629295.0,138388944.0,-55.46660504902762
Anabatic Technologies Tbk.,2020-11-27,2020-11-30,690,662.0,22329,-616280.0,SL,0.564,65,61013015.0,138388944.0,-55.91192964085339
Anabatic Technologies Tbk.,2021-01-08,2021-01-11,855,906.0,17840,915192.0,TP,0.595,65,61928207.0,138388944.0,-55.25061091585467
Anabatic Technologies Tbk.,2021-01-13,2021-01-14,1000,960.0,15482,-619280.0,SL,0.649,65,61308927.0,138388944.0,-55.69810331091188
Anabatic Technologies Tbk.,2021-01-14,2021-01-14,930,986.0,16480,919584.0,TP,0.624,65,62228511.0,138388944.0,-55.03361092198232
Anabatic Technologies Tbk.,2021-01-19,2021-01-20,850,816.0,18302,-622268.0,SL,0.556,65,61606243.0,138388944.0,-55.48326244905807
Anabatic Technologies Tbk.,2021-01-22,2021-01-25,760,730.0,20265,-616056.0,SL,0.562,65,60990187.0,138388944.0,-55.928425178242556
Anabatic Technologies Tbk.,2021-01-25,2021-01-27,730,701.0,20887,-609900.0,SL,0.552,65,60380287.0,138388944.0,-56.36913957519612
Anabatic Technologies Tbk.,2021-02-18,2021-02-19,720,763.0,20965,905688.0,TP,0.579,65,61285975.0,138388944.0,-55.71468845083463
Anabatic Technologies Tbk.,2021-02-24,2021-02-25,740,710.0,20704,-612838.0,SL,0.554,65,60673136.0,138388944.0,-56.15752657235393
Anabatic Technologies Tbk.,2021-03-18,2021-03-22,710,705.0,21363,-106815.0,TIMEOUT,0.591,65,60566321.0,138388944.0,-56.23471120640967
Anabatic Technologies Tbk.,2021-03-22,2021-03-25,705,710.0,21477,107385.0,TIMEOUT,0.562,65,60673706.0,138388944.0,-56.15711468973995
Anabatic Technologies Tbk.,2021-03-22,2021-03-25,705,710.0,21515,107575.0,TIMEOUT,0.562,65,60781281.0,138388944.0,-56.07938087886558
Anabatic Technologies Tbk.,2021-03-25,2021-03-26,710,682.0,21401,-607788.0,SL,0.579,65,60173493.0,138388944.0,-56.5185691423442
Anabatic Technologies Tbk.,2021-04-19,2021-04-22,710,705.0,21187,-105935.0,TIMEOUT,0.588,65,60067558.0,138388944.0,-56.59511788745205
Anabatic Technologies Tbk.,2021-04-23,2021-04-27,705,677.0,21300,-600660.0,SL,0.56,65,59466898.0,138388944.0,-57.02915545045275
Anabatic Technologies Tbk.,2021-06-08,2021-06-09,735,706.0,20226,-594644.0,SL,0.554,65,58872253.0,138388944.0,-57.45884656797438
Anabatic Technologies Tbk.,2021-06-14,2021-06-15,745,790.0,19755,883049.0,TP,0.559,65,59755302.0,138388944.0,-56.82075440939849
Anabatic Technologies Tbk.,2021-06-17,2021-06-18,1450,1537.0,10302,896274.0,TP,0.742,65,60651576.0,138388944.0,-56.173105851577276
Anabatic Technologies Tbk.,2021-06-22,2021-06-23,2260,2170.0,6709,-606494.0,SL,0.68,65,60045082.0,138388944.0,-56.611359069262065
Anabatic Technologies Tbk.,2021-06-25,2021-06-28,2260,2170.0,6642,-600437.0,SL,0.687,65,59444645.0,138388944.0,-57.04523549222256
